ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,OVERNIGHT_SERVICE_TYPE,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,614,Room Based Capacity,,,,,,148,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,111,Room Based Capacity,,,,,,56,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Reception Centre,Shelter,8,Bed Based Capacity,8,8,8,0,0,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,249,Room Based Capacity,,,,,,76,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,462,Room Based Capacity,,,,,,148,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Etobicoke Hotel Program,Motel/Hotel Shelter,147,Room Based Capacity,,,,,,142,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC West End Hotel Program,Motel/Hotel Shelter,39,Room Based Capacity,,,,,,39,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,39,Bed Based Capacity,39,39,39,0,0,,,100,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,66,Room Based Capacity,,,,,,27,1,,96.43
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,220,Room Based Capacity,,,,,,64,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,24,Room Based Capacity,,,,,,12,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,83,Room Based Capacity,,,,,,83,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,28,Room Based Capacity,,,,,,14,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,77,Room Based Capacity,,,,,,77,0,,100
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,146,Room Based Capacity,,,,,,75,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,102,Room Based Capacity,,,,,,102,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,138,Room Based Capacity,,,,,,39,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,113,Room Based Capacity,,,,,,39,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,4,Room Based Capacity,,,,,,4,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,50,Room Based Capacity,,,,,,18,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,33,Bed Based Capacity,35,36,33,2,1,,,94.29,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,70,Room Based Capacity,,,,,,67,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,43,Bed Based Capacity,44,46,43,1,2,,,97.73,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,88,Room Based Capacity,,,,,,34,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,142,Room Based Capacity,,,,,,111,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,30,Room Based Capacity,,,,,,30,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Village Residence,Shelter,90,Bed Based Capacity,93,93,90,3,0,,,96.77,
City of Toronto,Seaton House,SSHA Junction Place,Shelter,58,Bed Based Capacity,58,62,58,0,4,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,49,Bed Based Capacity,50,51,49,1,1,,,98,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,81,Bed Based Capacity,81,81,81,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,22,Bed Based Capacity,22,22,22,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,5,Bed Based Capacity,5,10,5,0,5,,,100,
City of Toronto,Seaton House,SSHA Downtown Response Program,Shelter,57,Bed Based Capacity,57,60,57,0,3,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,67,Bed Based Capacity,67,72,67,0,5,,,100,
City of Toronto,Streets To Homes,Streets to Homes Assessment and Referral Centre (SHARC),Shelter,24,Bed Based Capacity,30,30,24,6,0,,,80,
City of Toronto,Women's Residence,SSHA Downtown Hotel Program,Motel/Hotel Shelter,69,Room Based Capacity,,,,,,62,2,,96.88
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,6,Bed Based Capacity,6,11,6,0,5,,,100,
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,78,Bed Based Capacity,78,80,78,0,2,,,100,
Cornerstone Place,Cornerstone Place,Cornerstone Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,1,Bed Based Capacity,2,2,1,1,0,,,50,
